cat,major_name,acres,sq_miles,prod_year,source,HUC_8,HUC4,Shape_Leng,Shape_Area,major,n,s,e,w
16,"Lower Minnesota River",1174360,1835,2023,"DNR Catchment Dataset","07020012","0702",582392.519293,4752486962.29,33,4977045.1738,4907686.5816,492985.3975,363083.84
17,"Minnesota River - Headwaters",501739,784,2023,"DNR Catchment Dataset","07020001","0702",371204.265838,2030473383.91,22,5060912.1428,4988725.7748,279731.8547,199223.9539
18,"Pomme de Terre River",560212,875,2023,"DNR Catchment Dataset","07020002","0702",535193.988006,2267106713.34,23,5137096.0868,5007275.6189,302984.0673,244967.3494
19,"Mustinka River",550870,861,2023,"DNR Catchment Dataset","09020102","0902",379191.37099,2229302292.54,55,5122834.1758,5041564.6315,276591.347,218825.2921
20,"Bois de Sioux River",355934,556,2023,"DNR Catchment Dataset","09020101","0902",342645.463247,1440421155.51,54,5129651.0689,5056466.1381,263170.3467,199176.657
21,"Chippewa River",1330105,2078,2023,"DNR Catchment Dataset","07020005","0702",627072.920642,5382763630.23,26,5118549.1633,4979241.2856,342531.012,266378.0347
22,"South Fork Crow River",818096,1278,2023,"DNR Catchment Dataset","07010205","0701",527169.937633,3310728285.11,19,5002240,4945165.1809,454189.9688,337084.0938
23,"North Fork Crow River",944909,1476,2023,"DNR Catchment Dataset","07010204","0701",652801.601554,3823926289.3,18,5059377.9594,4976337.6359,460306.5997,324069.3559
24,"Mississippi River - St. Cloud",717374,1121,2023,"DNR Catchment Dataset","07010203","0701",390192.441892,2903119614.77,17,5075426.5,5004399.0845,459523.4554,383746.3843
25,"Sauk River",666747,1042,2023,"DNR Catchment Dataset","07010202","0701",531177.936397,2698241115.64,16,5095716.3493,5015340.8523,408252.6561,319915.0562
26,"Long Prairie River",565080,883,2023,"DNR Catchment Dataset","07010108","0701",494843.175138,2286805377.82,14,5139007.4007,5070454.7079,389301.0464,299606.9211
27,"Mississippi River - Sartell",656113,1025,2023,"DNR Catchment Dataset","07010201","0701",385200.376301,2655203732.32,15,5120407.0862,5037786.1035,437908.5005,368500.3334
28,"Zumbro River",909363,1421,2023,"DNR Catchment Dataset","07040004","0704",402827.923917,3680077672.26,41,4918103,4855028.0001,585681.6256,483578
29,"Upper Wapsipinicon River",8264,13,2023,"DNR Catchment Dataset","07080102","0708",29248.4222678,33443325.8497,47,4822376.5162,4816395.4018,533662.0135,523261.1854
30,"Cedar River",454029,709,2023,"DNR Catchment Dataset","07080201","0708",254489.146088,1837398061.16,48,4866408,4816305.3701,529330.625,470147.1682
31,"Shell Rock River",157701,246,2023,"DNR Catchment Dataset","07080202","0708",151930.653291,638196336.206,49,4848457.0982,4816308.0853,489084.3569,456220.5112
32,"Winnebago River",45649,71,2023,"DNR Catchment Dataset","07080203","0708",91732.4443763,184736988.676,50,4834856.7462,4816398.1348,464230.0824,446361.677
33,"Cannon River",940573,1470,2023,"DNR Catchment Dataset","07040002","0704",521725.817365,3806379936.91,39,4940323.5788,4852172.6268,535200.7433,432231.7208
34,"Mississippi River - Lake Pepin",382838,598,2023,"DNR Catchment Dataset","07040001","0704",391381.276208,1549294920.01,38,4968472.0783,4912751.9999,572710.1991,470779.9179
35,"Mississippi River - Winona",419200,655,2023,"DNR Catchment Dataset","07040003","0704",305865.169576,1696448050.5,40,4917671.3503,4862906.0325,626234.2773,548275.7895
36,"Mississippi River - La Crescent",60553,95,2023,"DNR Catchment Dataset","07040006","0704",95957.5183096,245049225.672,42,4873030.3058,4846733.4335,641325.8831,615558.875
37,"Root River",1061507,1659,2023,"DNR Catchment Dataset","07040008","0704",386758.024843,4295785549.79,43,4871298.1516,4817072.706,640733.2447,515333.4385
38,"Mississippi River - Reno",117438,183,2023,"DNR Catchment Dataset","07060001","0706",120321.766056,475255112.025,44,4848529.5,4817656.6604,644098.4432,615056.1875
39,"Upper Iowa River",138756,217,2023,"DNR Catchment Dataset","07060002","0706",245654.771987,561526329.38,46,4830689.5,4816462.1016,634943.7147,526947.8603
40,"Mississippi River - Twin Cities",644250,1007,2023,"DNR Catchment Dataset","07010206","0701",432420.98326,2607199313.96,20,5016826.388,4953505.6443,515463.1793,438592.9039
41,"Lower St. Croix River",585916,915,2023,"DNR Catchment Dataset","07030005","0703",421048.934024,2371128317.68,37,5074738.8325,4954866.6,527646.5367,483346.6412
42,"Rum River",1013615,1584,2023,"DNR Catchment Dataset","07010207","0701",649572.946522,4101969820.87,21,5140851.6684,5003934.4278,491449.4177,423525.273
43,"Snake River - St. Croix",643131,1005,2023,"DNR Catchment Dataset","07030004","0703",416552.227671,2602668360.85,36,5137127.6547,5058383.6088,518176.5208,451516.6591
44,"Upper St. Croix River",349548,546,2023,"DNR Catchment Dataset","07030001","0703",260805.688813,1414574978.17,34,5134533.7642,5074683.8289,554592.617,513958.61
45,"Upper Red River of the North",319533,499,2023,"DNR Catchment Dataset","09020104","0902",414876.609615,1293110908.48,57,5221991.1542,5129646.0268,255084.1632,208147.8755
46,"Otter Tail River",1231895,1925,2023,"DNR Catchment Dataset","09020103","0902",758543.172254,4985322867.16,56,5235243.6398,5116182.3984,321379.265,222667.4475
47,"Buffalo River",714221,1116,2023,"DNR Catchment Dataset","09020106","0902",507657.951956,2890362767.51,58,5222082.774,5150409.8198,300373.3497,210276.0014
48,"Redeye River",572067,894,2023,"DNR Catchment Dataset","07010107","0701",410548.714167,2315080880.97,13,5195490.407,5107906.5231,360836.7856,298661.3323
49,"Wild Rice River",1047065,1636,2023,"DNR Catchment Dataset","09020108","0902",583624.042168,4237339242.68,60,5266545.4313,5203731.8341,330822.0691,209674.7141
50,"Red River of the North - Marsh River",231541,362,2023,"DNR Catchment Dataset","09020107","0902",346938.351665,937017770.572,59,5268018.2633,5218564.3924,259585.3211,207968.1026
51,"Crow Wing River",1268956,1983,2023,"DNR Catchment Dataset","07010106","0701",751188.595007,5135301326.26,12,5233301.8619,5112443.2864,413708.4053,308240.7954
52,"Mississippi River - Brainerd",1076295,1682,2023,"DNR Catchment Dataset","07010104","0701",676696.855841,4355630597.74,10,5183454.9465,5075087.2065,492266.3058,358139.3674
53,"Pine River",500885,783,2023,"DNR Catchment Dataset","07010105","0701",388415.018222,2027017976.01,11,5202123.9908,5153660.4726,444710.8353,372303.9185
54,"Leech Lake River",857968,1341,2023,"DNR Catchment Dataset","07010102","0701",417473.121726,3472087335.57,8,5255410.4867,5186812.3229,434915.7416,351151.2012
55,"Mississippi River - Headwaters",1228892,1920,2023,"DNR Catchment Dataset","07010101","0701",755109.774788,4973168090.91,7,5291778.9823,5212303.1914,465212.7858,320838.4431
56,"Red River of the North - Sandhill River",395583,618,2023,"DNR Catchment Dataset","09020301","0902",516931.037177,1600873983.92,61,5321003.6647,5255298.5374,299121.8096,196937.2935
57,"Red Lake River",857496,1340,2023,"DNR Catchment Dataset","09020303","0902",539781.274208,3470177950.6,63,5342161.6786,5277040.6049,332948.1237,199613.4922
58,"Red River of the North - Grand Marais Creek",378808,592,2023,"DNR Catchment Dataset","09020306","0902",376669.064867,1532988097.91,67,5377918.8802,5302552.9525,249559.4246,191563.6075
59,"Clearwater River",869460,1359,2023,"DNR Catchment Dataset","09020305","0902",463965.744881,3518591966.85,66,5322878.9904,5256967.096,346554.5777,254207.3379
60,"Snake River - Red River",498607,779,2023,"DNR Catchment Dataset","09020309","0902",327854.453279,2017798070.93,68,5379523.7533,5336257.6516,278346.1683,194056.9816
61,"Red River of the North - Tamarac River",561361,877,2023,"DNR Catchment Dataset","09020311","0902",464960.298678,2271758414.78,69,5436130.0461,5358301.9828,281598.9032,189775.3321
62,"Two Rivers",695544,1087,2023,"DNR Catchment Dataset","09020312","0902",330869.470468,2814777958.08,70,5434381.2999,5378152.1329,292558.0252,194716.2136
63,"Roseau River",694815,1086,2023,"DNR Catchment Dataset","09020314","0902",469252.482288,2811826511.93,71,5435232.3513,5372355.4246,341241.2183,206910.0465
64,"Thief River",671021,1048,2023,"DNR Catchment Dataset","09020304","0902",277001.414017,2715537495.34,65,5383867.9714,5331758.7189,335054.6876,258981.043
65,"Upper/Lower Red Lake",1241676,1940,2023,"DNR Catchment Dataset","09020302","0902",400203.055321,5024903409.53,62,5355862.7351,5279024.5071,421703.6074,325988.7952
66,"Big Fork River",1315131,2055,2023,"DNR Catchment Dataset","09030006","0903",484524.617718,5322168314.22,77,5374068.6063,5253888.1155,481826.4534,398162.5605
67,"Rapid River",603844,944,2023,"DNR Catchment Dataset","09030007","0903",276045.100572,2443678442.46,78,5394690.8815,5345771.5572,415472.2493,331530.7165
68,"Lower Rainy River",529053,827,2023,"DNR Catchment Dataset","09030008","0903",478733.569622,2141009424.18,79,5410875.9241,5347364.3737,475503.001,346499.5226
69,"Lake of the Woods",736668,1151,2023,"DNR Catchment Dataset","09030009","0903",335819.246066,2981202222.59,80,5472427.737,5381818.6377,376584.508,318275.6436
70,"Kettle River",671503,1049,2023,"DNR Catchment Dataset","07030003","0703",476827.254962,2717488411.1,35,5173675.9964,5080173.8462,545216.3761,483699.7512
71,"Nemadji River",176844,276,2023,"DNR Catchment Dataset","04010301","0401",167138.483538,715665516.936,5,5173313.4726,5129384.6315,575372.6271,525955.3349
72,"Mississippi River - Grand Rapids",1332807,2083,2023,"DNR Catchment Dataset","07010103","0701",729749.158186,5393700707.82,9,5281617.7817,5154559.5408,518017.8051,423031.6414
73,"St. Louis River",1831175,2861,2023,"DNR Catchment Dataset","04010201","0401",801855.088742,7410531013.21,3,5292715.6351,5158238.7814,601528.5583,483704.1949
74,"Lake Superior - South",399371,624,2023,"DNR Catchment Dataset","04010102","0401",368871.23551,1616202816.41,2,5258899.2627,5173071.2492,636179.8239,564007.6015
75,"Cloquet River",507567,793,2023,"DNR Catchment Dataset","04010202","0401",378451.984928,2054059063.35,4,5259302.4859,5187688.9531,616404.7743,532492.8094
76,"Little Fork River",1198555,1873,2023,"DNR Catchment Dataset","09030005","0903",606428.859947,4850397930.33,76,5375047.6183,5256508.797,547315.7252,449849.9805
77,"Vermilion River",661296,1033,2023,"DNR Catchment Dataset","09030002","0903",495503.987143,2676182601.56,73,5355361.8056,5258330.1185,572806.6427,497739.1682
78,"Rainy River - Rainy Lake",296623,463,2023,"DNR Catchment Dataset","09030003","0903",321568.465286,1200397140.74,74,5387781.331,5341228.037,527689.675,463383.5837
79,"Rainy River - Headwaters",1890840,2954,2023,"DNR Catchment Dataset","09030001","0903",1016098.41546,7651990176.64,72,5376556.779,5255014.6441,683180.9403,487132.5304
80,"Lake Superior - North",1015767,1587,2023,"DNR Catchment Dataset","04010101","0401",555782.309081,4110678998.52,1,5332757.888,5243978.2337,761638.164,616671.8157
